fold,feature_set,n_features,genes_json
1,H2C_train_rule_top37,37,"[""EFCAB3"", ""PGC"", ""RPRM"", ""RPRML"", ""PABPN1L"", ""HSPB9"", ""TMCO2"", ""CAPNS2"", ""RPRD1B"", ""TPRG1"", ""OTOP1"", ""NCR2"", ""PPIP5K1"", ""AES"", ""SERPINA10"", ""FLJ46066"", ""SNW1"", ""VCAM1"", ""CCT4"", ""DDX11L1"", ""PDLIM7"", ""C1orf49"", ""RAD50"", ""NDUFV1"", ""DNAJB12"", ""PRG3"", ""NOTCH3"", ""SFSWAP"", ""COQ10B"", ""SSC5D"", ""CCT8L2"", ""SCARNA20"", ""SFTPC"", ""EIF1AY"", ""C19orf66"", ""BANF2"", ""RAB30""]"
1,TDA_top200_train,200,"[""ACTB"", ""RPS6"", ""ACTG1"", ""RPL23AP7"", ""RRAGB"", ""RPS6KC1"", ""GNG5"", ""EFCAB3"", ""RPP14"", ""UBE2I"", ""PGC"", ""CFLAR-AS1"", ""RPRM"", ""RPRML"", ""RPL23AP53"", ""PABPN1L"", ""ALDOA"", ""HSPB9"", ""OCIAD2"", ""PTPN11"", ""CD82"", ""ANXA2P2"", ""PLA2G15"", ""ENOX2"", ""PGAP1"", ""TMCO2"", ""CP"", ""CAPNS2"", ""BTF3L4"", ""RHOXF1"", ""RPRD1B"", ""ARF1"", ""ZBED2"", ""TPRG1"", ""OTOP1"", ""NCR2"", ""GLYCTK"", ""PPIP5K1"", ""GRAMD2"", ""ELAC1"", ""HNRNPH3"", ""AES"", ""PCDH18"", ""MARVELD2"", ""CYC1"", ""CD160"", ""MRP63"", ""PARP4"", ""LARP7"", ""SERPINA10"", ""HIRA"", ""ATP5G2"", ""CAP1"", ""FLJ46066"", ""ATP6V0E1"", ""ARPC2"", ""SNW1"", ""RPS12"", ""MYLK2"", ""USHBP1"", ""TMEM106C"", ""DDX55"", ""DYRK3"", ""PSTK"", ""PGPEP1"", ""ARHGDIA"", ""CCNI2"", ""KDM4A"", ""GARS"", ""RIBC2"", ""COPS2"", ""TMEM11"", ""GUSBP4"", ""ELAVL2"", ""GNG13"", ""VCAM1"", ""FLCN"", ""PTK2"", ""RPL29"", ""ARF5"", ""CCT4"", ""ARL6IP1"", ""HDX"", ""DDX11L1"", ""C11orf16"", ""TMCC1"", ""GNB2"", ""SERBP1"", ""ZBP1"", ""PDLIM7"", ""NUDT16L1"", ""C1orf49"", ""RAD50"", ""HOGA1"", ""MSX1"", ""PDPN"", ""SELE"", ""ARPC3"", ""CCT8"", ""APRT"", ""CD47"", ""PRKCZ"", ""PDP1"", ""HNRPDL"", ""CDH10"", ""DBI"", ""ARF4"", ""KDM4B"", ""YBX1"", ""CHMP6"", ""SRSF12"", ""VPS8"", ""CTNNB1"", ""EIF4E1B"", ""HEATR7A"", ""EIF3K"", ""GSTT2"", ""CNEP1R1"", ""TWSG1"", ""NDUFV1"", ""ZFR2"", ""DNAJB12"", ""ACTR2"", ""NFKBIE"", ""PRG3"", ""SV2A"", ""ING2"", ""CARD10"", ""TMCO1"", ""PSMD3"", ""NOTCH3"", ""LMLN"", ""SFSWAP"", ""TMEM107"", ""SEPT5-GP1BB"", ""RAC1"", ""COQ10B"", ""SFRP4"", ""SSC5D"", ""HOMER1"", ""PTDSS2"", ""CCT8L2"", ""ACTR3"", ""HNRNPKP3"", ""TMEM105"", ""SCARNA20"", ""SFTPC"", ""ELANE"", ""DDIT3"", ""NID2"", ""EIF1AY"", ""C19orf66"", ""BANF2"", ""CAPN10"", ""SELK"", ""RAB30"", ""DDX46"", ""HNRNPU"", ""HOMEZ"", ""AP2S1"", ""NUDT16P1"", ""SPOCK3"", ""KANK4"", ""PTPRVP"", ""THAP7-AS1"", ""AUP1"", ""SETMAR"", ""ERMN"", ""RNF214"", ""NAMPT"", ""NUDT18"", ""HOOK3"", ""HNRNPL"", ""PML"", ""ARL6IP5"", ""NAV1"", ""KRT12"", ""PSD3"", ""HDAC9"", ""TGFBI"", ""DYX1C1"", ""TMOD3"", ""MYBBP1A"", ""L3MBTL3"", ""ELK4"", ""SDS"", ""ADD1"", ""STEAP3"", ""VGLL3"", ""SCARF1"", ""ST6GALNAC2"", ""C2orf29"", ""LRP6"", ""KIAA0100"", ""STX4"", ""TAF7"", ""CISD1"", ""SERPINB1"", ""NDUFS1"", ""SEC23B""]"
1,Euclidean_top200_train,200,"[""COL10A1"", ""SPRY2"", ""MATN2"", ""SCN4B"", ""MIR4508"", ""SDPR"", ""COL11A1"", ""MME"", ""TMEM220"", ""NTRK2"", ""MAMDC2"", ""C2orf40"", ""HOXA4"", ""IBSP"", ""CCL11"", ""LOC283867"", ""ADAMTS5"", ""HOXA5"", ""ITM2A"", ""PAMR1"", ""MMP13"", ""LMOD1"", ""CD300LG"", ""IL33"", ""IL11RA"", ""ANKRD29"", ""SLC24A2"", ""TSLP"", ""ARF1"", ""CILP2"", ""SYNM"", ""KLHL29"", ""GABRD"", ""PROS1"", ""FMO2"", ""MIR497HG"", ""APOA1BP"", ""SCARA5"", ""EPYC"", ""FIGF"", ""HLF"", ""HSD17B6"", ""CST1"", ""JTB"", ""NEK2"", ""PPP1R14A"", ""CACHD1"", ""RGN"", ""GJB2"", ""C5orf4"", ""CA4"", ""CXCL2"", ""TSHZ2"", ""WISP1"", ""DMD"", ""TINAGL1"", ""SFRP1"", ""PPAPDC1A"", ""TGFBR3"", ""PLAC1"", ""SCT"", ""ANXA1"", ""GIPC2"", ""LOC100127983"", ""AURKA"", ""ABCA10"", ""JAM2"", ""LAGE3"", ""CYYR1"", ""NDRG2"", ""RERGL"", ""ADAM33"", ""S100B"", ""C1QTNF6"", ""VIT"", ""ROBO3"", ""TCEAL7"", ""UBE2T"", ""CTHRC1"", ""GPRIN1"", ""LINC00478"", ""CLDN11"", ""NR3C2"", ""HOXA3"", ""SCAMP3"", ""CAPN11"", ""MYH11"", ""MMP11"", ""LIMS2"", ""POC1A"", ""TSPAN7"", ""PGM5"", ""KIF4A"", ""NUF2"", ""TPX2"", ""SPC25"", ""SLC50A1"", ""CRYAB"", ""CERS2"", ""NFIB"", ""METTL11B"", ""CHL1"", ""ITIH5"", ""RUSC1"", ""GPRASP1"", ""ARHGAP20"", ""LOC100131176"", ""BOC"", ""ID4"", ""KIAA0101"", ""KIF4B"", ""MIR100HG"", ""ADAMTS14"", ""RBMS3"", ""IQGAP3"", ""BTNL9"", ""SKA1"", ""CDC25C"", ""C1QTNF9"", ""CDK1"", ""RNFT2"", ""UBE2C"", ""RNASEH2A"", ""CAV1"", ""FAM107A"", ""FLAD1"", ""ADRB2"", ""CCNB1"", ""MMP1"", ""SOBP"", ""SRPX"", ""FAM49A"", ""SYN2"", ""MSRA"", ""PDE2A"", ""PPP4C"", ""APCDD1"", ""MET"", ""PARP1"", ""NEIL3"", ""TMTC1"", ""PTTG1"", ""LRIG3"", ""HIST1H2AM"", ""CEP55"", ""TIMM17A"", ""LIFR"", ""HDGF"", ""PROC"", ""NUAK2"", ""TROAP"", ""HOXA2"", ""GPIHBP1"", ""WBSCR28"", ""EDNRB"", ""DAP3"", ""METTL7A"", ""CKAP2L"", ""KL"", ""INHBA"", ""CORO2B"", ""PLA2G4A"", ""ADH1C"", ""MAB21L1"", ""TDRD10"", ""P4HA3"", ""TMCO1"", ""H2AFZ"", ""PHYHIP"", ""CLEC5A"", ""C1orf31"", ""SPC24"", ""ATP6V0B"", ""NACC1"", ""SGOL1"", ""LOC100128338"", ""CHRDL1"", ""TF"", ""MELK"", ""SPAG5"", ""ENPP2"", ""ASF1B"", ""TSTA3"", ""IGSF10"", ""ITPRIPL1"", ""ABCA8"", ""LOC283481"", ""C18orf34"", ""PARK2"", ""LRRN4CL"", ""PLAGL1"", ""GRM4"", ""CDCA8"", ""HIF3A"", ""C16orf59"", ""CAV2"", ""CDKN1C"", ""ADAMTS9-AS2"", ""CDKN3"", ""CCDC167""]"
1,Latent_32d_fixed_unsupervised,32,"[""z0"", ""z1"", ""z2"", ""z3"", ""z4"", ""z5"", ""z6"", ""z7"", ""z8"", ""z9"", ""z10"", ""z11"", ""z12"", ""z13"", ""z14"", ""z15"", ""z16"", ""z17"", ""z18"", ""z19"", ""z20"", ""z21"", ""z22"", ""z23"", ""z24"", ""z25"", ""z26"", ""z27"", ""z28"", ""z29"", ""z30"", ""z31""]"
2,H2C_train_rule_top37,37,"[""EFCAB3"", ""PGC"", ""RPRM"", ""RPRML"", ""PABPN1L"", ""HSPB9"", ""TMCO2"", ""CAPNS2"", ""RPRD1B"", ""OTOP1"", ""TPRG1"", ""NCR2"", ""AES"", ""SERPINA10"", ""FLJ46066"", ""SNW1"", ""DDX11L1"", ""PDLIM7"", ""C1orf49"", ""RAD50"", ""VPS8"", ""DNAJB12"", ""PRG3"", ""NDUFV1"", ""GSTT2"", ""SFSWAP"", ""COQ10B"", ""SCARNA20"", ""SFTPC"", ""NOTCH3"", ""EIF1AY"", ""DDX46"", ""NUDT16P1"", ""BANF2"", ""C19orf66"", ""KRT12"", ""TGFBI""]"
2,TDA_top200_train,200,"[""ACTB"", ""RPS6"", ""ACTG1"", ""RPL23AP7"", ""RRAGB"", ""RPS6KC1"", ""GNG5"", ""EFCAB3"", ""RPP14"", ""UBE2I"", ""PGC"", ""CFLAR-AS1"", ""RPRM"", ""RPRML"", ""RPL23AP53"", ""PABPN1L"", ""ALDOA"", ""HSPB9"", ""OCIAD2"", ""PTPN11"", ""CD82"", ""ANXA2P2"", ""PLA2G15"", ""PGAP1"", ""ENOX2"", ""TMCO2"", ""CP"", ""CAPNS2"", ""BTF3L4"", ""RPRD1B"", ""RHOXF1"", ""ARF1"", ""ZBED2"", ""OTOP1"", ""TPRG1"", ""GLYCTK"", ""NCR2"", ""ELAC1"", ""GRAMD2"", ""PPIP5K1"", ""HNRNPH3"", ""CYC1"", ""AES"", ""PCDH18"", ""MARVELD2"", ""CD160"", ""MRP63"", ""LARP7"", ""SERPINA10"", ""PARP4"", ""ATP5G2"", ""CAP1"", ""HIRA"", ""FLJ46066"", ""ARPC2"", ""TMEM106C"", ""RPS12"", ""MYLK2"", ""SNW1"", ""DDX55"", ""ATP6V0E1"", ""USHBP1"", ""PGPEP1"", ""DYRK3"", ""CCNI2"", ""PSTK"", ""GARS"", ""ARHGDIA"", ""GNG13"", ""COPS2"", ""RPL29"", ""ARL6IP1"", ""GUSBP4"", ""PTK2"", ""TMCC1"", ""ELAVL2"", ""KDM4A"", ""SERBP1"", ""FLCN"", ""RIBC2"", ""TMEM11"", ""HDX"", ""ZBP1"", ""ARF5"", ""VCAM1"", ""DDX11L1"", ""C11orf16"", ""CCT4"", ""PDPN"", ""PDLIM7"", ""GNB2"", ""C1orf49"", ""HOGA1"", ""MSX1"", ""SELE"", ""RAD50"", ""NUDT16L1"", ""CD47"", ""PRKCZ"", ""APRT"", ""CDH10"", ""PDP1"", ""DBI"", ""YBX1"", ""HNRPDL"", ""ARF4"", ""SRSF12"", ""ARPC3"", ""CCT8"", ""KDM4B"", ""CTNNB1"", ""HEATR7A"", ""CHMP6"", ""VPS8"", ""NFKBIE"", ""ACTR2"", ""DNAJB12"", ""PRG3"", ""CNEP1R1"", ""NDUFV1"", ""SV2A"", ""ZFR2"", ""TMCO1"", ""TMEM107"", ""EIF4E1B"", ""EIF3K"", ""SFRP4"", ""SEPT5-GP1BB"", ""GSTT2"", ""SFSWAP"", ""CARD10"", ""TWSG1"", ""ACTR3"", ""RAC1"", ""TMEM105"", ""ING2"", ""HOMER1"", ""PTDSS2"", ""COQ10B"", ""SCARNA20"", ""SSC5D"", ""DDIT3"", ""PSMD3"", ""SFTPC"", ""ELANE"", ""NOTCH3"", ""CCT8L2"", ""EIF1AY"", ""LMLN"", ""RAB30"", ""DDX46"", ""HNRNPKP3"", ""HOMEZ"", ""HNRNPU"", ""NUDT16P1"", ""NID2"", ""CAPN10"", ""THAP7-AS1"", ""PTPRVP"", ""AP2S1"", ""SPOCK3"", ""BANF2"", ""C19orf66"", ""SELK"", ""SETMAR"", ""HOOK3"", ""ARL6IP5"", ""NAV1"", ""KRT12"", ""PML"", ""RNF214"", ""TGFBI"", ""L3MBTL3"", ""HDAC9"", ""KANK4"", ""HNRNPL"", ""STEAP3"", ""ADD1"", ""AUP1"", ""SERPINB1"", ""STX4"", ""SCARF1"", ""KIAA0100"", ""LRP6"", ""HOMER3"", ""ERMN"", ""MLL5"", ""PSD3"", ""SDS"", ""NUDT18"", ""ELK4"", ""VGLL3"", ""TAF7"", ""TMOD3"", ""SRSF3"", ""ST6GALNAC2"", ""GORASP2"", ""NAMPT"", ""NUP214"", ""RAB1A""]"
2,Euclidean_top200_train,200,"[""COL10A1"", ""SPRY2"", ""SCN4B"", ""MATN2"", ""COL11A1"", ""MIR4508"", ""NTRK2"", ""TMEM220"", ""C2orf40"", ""MME"", ""SDPR"", ""ADAMTS5"", ""IL33"", ""ITM2A"", ""MAMDC2"", ""CD300LG"", ""LOC283867"", ""HOXA4"", ""FIGF"", ""ANKRD29"", ""DMD"", ""PAMR1"", ""CACHD1"", ""IBSP"", ""CCL11"", ""SCARA5"", ""MIR497HG"", ""MMP13"", ""HOXA5"", ""CXCL2"", ""SLC24A2"", ""FMO2"", ""HLF"", ""GABRD"", ""JTB"", ""APOA1BP"", ""IL11RA"", ""CYYR1"", ""CA4"", ""GIPC2"", ""ARF1"", ""SYNM"", ""KLHL29"", ""LMOD1"", ""RGN"", ""TSLP"", ""PROS1"", ""TINAGL1"", ""WISP1"", ""NEK2"", ""PGM5"", ""TGFBR3"", ""HSD17B6"", ""LINC00478"", ""C5orf4"", ""TSHZ2"", ""CILP2"", ""PPP1R14A"", ""TSPAN7"", ""SFRP1"", ""PPAPDC1A"", ""ADAM33"", ""LAGE3"", ""LIMS2"", ""JAM2"", ""GJB2"", ""ARHGAP20"", ""NR3C2"", ""NDRG2"", ""LIFR"", ""PLAC1"", ""CHL1"", ""ANXA1"", ""RERGL"", ""CTHRC1"", ""ABCA10"", ""S100B"", ""HIF3A"", ""SCAMP3"", ""SCT"", ""CST1"", ""VIT"", ""MMP11"", ""C1QTNF9"", ""TMTC1"", ""LOC100127983"", ""EPYC"", ""C1QTNF6"", ""CAPN11"", ""SLC50A1"", ""ADH1C"", ""NFIB"", ""BTNL9"", ""FAM107A"", ""PDE2A"", ""UBE2T"", ""GPRIN1"", ""KL"", ""RBMS3"", ""ITIH5"", ""TTC28"", ""CRYAB"", ""HOXA3"", ""MAB21L1"", ""CHRDL1"", ""MEOX2"", ""IGSF10"", ""FAM49A"", ""TPX2"", ""AURKA"", ""BOC"", ""GPRASP1"", ""MIR100HG"", ""METTL11B"", ""SRPX"", ""GPIHBP1"", ""CAV1"", ""TCEAL7"", ""ROBO3"", ""FAM13C"", ""POC1A"", ""APCDD1"", ""LYVE1"", ""METTL7A"", ""KIF4A"", ""NUF2"", ""MAGI2-AS3"", ""PARP1"", ""IQGAP3"", ""LRRN4CL"", ""RUSC1"", ""LRIG3"", ""CORO2B"", ""CDC14B"", ""MYH11"", ""CERS2"", ""MET"", ""ID4"", ""TACR1"", ""SPC25"", ""C18orf34"", ""ABCA8"", ""CDK1"", ""IGFBP6"", ""LDB2"", ""PPP4C"", ""ENPP2"", ""ADRB2"", ""PPAP2B"", ""CLDN11"", ""RNASEH2A"", ""MEOX1"", ""FAM13A"", ""MMP1"", ""C9orf125"", ""TGFBR2"", ""EDNRB"", ""LHFP"", ""FLAD1"", ""PEAR1"", ""KIAA0101"", ""CCT3"", ""KIF4B"", ""PLAGL1"", ""PARK2"", ""PLSCR4"", ""FAM162B"", ""ITPRIPL1"", ""CDKN1C"", ""SIRPA"", ""DAP3"", ""GGTA1P"", ""LOC100131176"", ""LAMTOR2"", ""SYNPO2"", ""SKA1"", ""ADAMTS9-AS2"", ""SLC17A7"", ""CEP112"", ""CAV2"", ""C3orf64"", ""TIMM17A"", ""ABCA9"", ""MSRA"", ""CCNB1"", ""ATOH8"", ""TDRD10"", ""TROAP"", ""GPC3"", ""NACC1"", ""EGFLAM"", ""TMEM88"", ""AIM1L"", ""SEMA6A"", ""LOC283481"", ""PHYHIP"", ""SYN2"", ""FAM126A"", ""NEIL3"", ""AVPR2""]"
2,Latent_32d_fixed_unsupervised,32,"[""z0"", ""z1"", ""z2"", ""z3"", ""z4"", ""z5"", ""z6"", ""z7"", ""z8"", ""z9"", ""z10"", ""z11"", ""z12"", ""z13"", ""z14"", ""z15"", ""z16"", ""z17"", ""z18"", ""z19"", ""z20"", ""z21"", ""z22"", ""z23"", ""z24"", ""z25"", ""z26"", ""z27"", ""z28"", ""z29"", ""z30"", ""z31""]"
3,H2C_train_rule_top37,37,"[""EFCAB3"", ""PGC"", ""RPRM"", ""RPRML"", ""PABPN1L"", ""HSPB9"", ""TMCO2"", ""CAPNS2"", ""RPRD1B"", ""OTOP1"", ""TPRG1"", ""NCR2"", ""AES"", ""SERPINA10"", ""FLJ46066"", ""DDX55"", ""SNW1"", ""DDX11L1"", ""VCAM1"", ""CCT4"", ""PDLIM7"", ""C1orf49"", ""RAD50"", ""VPS8"", ""PRG3"", ""SEPT5-GP1BB"", ""SFSWAP"", ""SCARNA20"", ""COQ10B"", ""SFTPC"", ""CCT8L2"", ""NOTCH3"", ""EIF1AY"", ""RAB30"", ""NUDT16P1"", ""CAPN10"", ""C19orf66""]"
3,TDA_top200_train,200,"[""ACTB"", ""RPS6"", ""ACTG1"", ""RPL23AP7"", ""RRAGB"", ""RPS6KC1"", ""GNG5"", ""EFCAB3"", ""RPP14"", ""UBE2I"", ""PGC"", ""CFLAR-AS1"", ""RPRM"", ""RPRML"", ""RPL23AP53"", ""PABPN1L"", ""ALDOA"", ""HSPB9"", ""OCIAD2"", ""PTPN11"", ""CD82"", ""ANXA2P2"", ""PLA2G15"", ""PGAP1"", ""ENOX2"", ""TMCO2"", ""CP"", ""CAPNS2"", ""BTF3L4"", ""RPRD1B"", ""RHOXF1"", ""ARF1"", ""ZBED2"", ""OTOP1"", ""TPRG1"", ""GLYCTK"", ""NCR2"", ""ELAC1"", ""GRAMD2"", ""PPIP5K1"", ""HNRNPH3"", ""CYC1"", ""AES"", ""PCDH18"", ""MARVELD2"", ""MRP63"", ""CD160"", ""LARP7"", ""SERPINA10"", ""PARP4"", ""CAP1"", ""ATP5G2"", ""HIRA"", ""FLJ46066"", ""TMEM106C"", ""RPS12"", ""ARPC2"", ""DDX55"", ""MYLK2"", ""SNW1"", ""ATP6V0E1"", ""USHBP1"", ""PGPEP1"", ""CCNI2"", ""DYRK3"", ""GARS"", ""PSTK"", ""ARHGDIA"", ""GNG13"", ""ARL6IP1"", ""RPL29"", ""COPS2"", ""TMCC1"", ""PTK2"", ""GUSBP4"", ""SERBP1"", ""KDM4A"", ""ELAVL2"", ""TMEM11"", ""ZBP1"", ""HDX"", ""FLCN"", ""RIBC2"", ""DDX11L1"", ""VCAM1"", ""ARF5"", ""C11orf16"", ""CCT4"", ""PDPN"", ""PDLIM7"", ""GNB2"", ""C1orf49"", ""HOGA1"", ""SELE"", ""MSX1"", ""CD47"", ""RAD50"", ""NUDT16L1"", ""PRKCZ"", ""CDH10"", ""PDP1"", ""DBI"", ""APRT"", ""YBX1"", ""ARF4"", ""HNRPDL"", ""SRSF12"", ""KDM4B"", ""CTNNB1"", ""ARPC3"", ""CCT8"", ""HEATR7A"", ""CHMP6"", ""NFKBIE"", ""ACTR2"", ""VPS8"", ""DNAJB12"", ""PRG3"", ""CNEP1R1"", ""SV2A"", ""NDUFV1"", ""ZFR2"", ""TMCO1"", ""TMEM107"", ""EIF4E1B"", ""SEPT5-GP1BB"", ""SFRP4"", ""EIF3K"", ""SFSWAP"", ""GSTT2"", ""CARD10"", ""TWSG1"", ""ACTR3"", ""TMEM105"", ""HOMER1"", ""PTDSS2"", ""SCARNA20"", ""COQ10B"", ""RAC1"", ""DDIT3"", ""ING2"", ""SFTPC"", ""SSC5D"", ""ELANE"", ""PSMD3"", ""CCT8L2"", ""NOTCH3"", ""EIF1AY"", ""RAB30"", ""LMLN"", ""DDX46"", ""HOMEZ"", ""HNRNPKP3"", ""HNRNPU"", ""NUDT16P1"", ""THAP7-AS1"", ""CAPN10"", ""NID2"", ""PTPRVP"", ""SPOCK3"", ""AP2S1"", ""C19orf66"", ""SETMAR"", ""HOOK3"", ""BANF2"", ""ARL6IP5"", ""NAV1"", ""SELK"", ""KRT12"", ""PML"", ""TGFBI"", ""L3MBTL3"", ""HDAC9"", ""RNF214"", ""STEAP3"", ""KANK4"", ""ADD1"", ""HNRNPL"", ""SERPINB1"", ""SCARF1"", ""STX4"", ""AUP1"", ""KIAA0100"", ""LRP6"", ""HOMER3"", ""MLL5"", ""ERMN"", ""PSD3"", ""SDS"", ""VGLL3"", ""ELK4"", ""TAF7"", ""NUDT18"", ""SRSF3"", ""TMOD3"", ""GORASP2"", ""NUP214"", ""RAB1A"", ""ST6GALNAC2"", ""NAMPT""]"
