gene,tda_importance,tda_rank,euclidean_t,euclidean_p,euclidean_rank
ACTB,3047.5884,1,7.9439173,4.814007e-13,6422
RPS6,3000.9265,2,-9.662466,8.793288e-17,5051
ACTG1,2978.9546,3,12.191752,6.1853385e-24,3177
RPL23AP7,2828.1704,4,-6.2667227,6.047757e-09,8392
RRAGB,2821.029,5,-4.5664907,1.1099537e-05,10669
RPS6KC1,2813.0996,6,7.7687087,6.894401e-13,6485
GNG5,2802.7754,7,16.84813,0.0,982
EFCAB3,2518.6338,8,-1.4241611,0.15733823,16659
RPP14,2367.019,9,-5.217859,7.931633e-07,9780
UBE2I,2111.1006,10,12.447626,1.7523948e-27,2531
PGC,2060.8584,11,-0.3820374,0.70323724,19672
CFLAR-AS1,1959.928,12,-6.479489,3.6078338e-09,8250
RPRM,1721.3397,13,-0.20070964,0.84116155,20283
RPRML,1632.022,14,-1.6945281,0.09265753,16024
RPL23AP53,1558.5394,15,-7.5470333,1.5099855e-11,7032
PABPN1L,1267.177,16,-0.45871395,0.64726156,19431
ALDOA,1256.3496,17,16.354055,1.2436148e-34,1513
HSPB9,1247.4579,18,-1.2670215,0.20739573,17035
OCIAD2,1214.8237,19,14.806758,4.0766068e-32,1824
PTPN11,1145.9856,20,-8.543137,1.7419598e-13,6229
CD82,1128.4005,21,-3.9221125,0.00013849218,11702
ANXA2P2,1124.2782,22,-3.8081229,0.00023236124,11936
PLA2G15,1049.3453,23,4.231067,4.5893532e-05,11223
PGAP1,960.495,24,-11.375419,1.4403866e-20,3990
ENOX2,958.3017,25,-4.359754,2.6349573e-05,11015
TMCO2,865.2815,26,1.4809505,0.14119594,16522
CP,806.069,27,-6.30203,3.5055383e-09,8240
CAPNS2,757.24725,28,-0.56288075,0.57417375,19101
BTF3L4,733.48236,29,3.818091,0.00021605386,11904
RHOXF1,725.0239,30,-16.670996,4.721532e-30,2102
RPRD1B,723.8319,31,1.7976526,0.07424772,15786
ARF1,707.7371,32,34.62568,0.0,28
ZBED2,703.1505,33,11.974795,2.1094747e-25,2887
OTOP1,685.1228,34,0.3529476,0.7245233,19772
TPRG1,683.72003,35,1.419482,0.15670106,16653
GLYCTK,651.6721,36,-8.067584,2.0202932e-12,6664
NCR2,646.18164,37,1.0250547,0.30740556,17735
ELAC1,623.3519,38,-20.202105,0.0,721
GRAMD2,612.95087,39,-7.876601,3.0106187e-12,6721
PPIP5K1,612.3012,40,-1.3692263,0.17308205,16784
HNRNPH3,599.07935,41,-8.290408,2.2001453e-13,6271
CYC1,594.18616,42,10.955083,1.8435685e-20,4026
AES,578.66583,43,1.2033931,0.23060146,17207
MARVELD2,576.71155,44,7.361872,1.7268626e-11,7058
PCDH18,576.443,45,-16.227667,3.8192677e-31,1940
CD160,567.5281,46,-7.3447714,3.6624877e-11,7223
MRP63,563.936,47,6.217036,5.282784e-09,8352
LARP7,555.3472,48,-3.9388516,0.00013870934,11705
PARP4,552.88464,49,-4.9937367,1.9829297e-06,10073
SERPINA10,549.38763,50,1.2428854,0.21572317,17099
ATP5G2,539.8966,51,3.9117138,0.00015494513,11754
HIRA,538.0111,52,-8.436,1.7096288e-14,5827
CAP1,537.9335,53,9.279146,1.6843464e-17,4821
FLJ46066,519.643,54,1.1755135,0.24199684,17284
ARPC2,497.2515,55,7.8861766,4.5112105e-13,6407
RPS12,492.4596,56,-10.714341,3.0708447e-20,4082
TMEM106C,491.39703,57,8.980273,2.6631167e-15,5517
SNW1,489.35657,58,0.42217425,0.6735184,19548
ATP6V0E1,488.69733,59,6.0768466,1.3028583e-08,8595
MYLK2,487.71198,60,10.793647,6.2241132e-21,3883
DDX55,483.81888,61,2.118943,0.036233127,15101
USHBP1,480.36246,62,-23.097448,0.0,450
PGPEP1,466.835,63,-5.02776,1.474387e-06,9966
DYRK3,461.7011,64,-9.16564,1.6242445e-15,5442
PSTK,460.8689,65,-3.1161525,0.0023075899,13083
ARHGDIA,453.58478,66,12.259715,6.5599534e-26,2807
CCNI2,453.04825,67,10.77489,2.5949462e-22,3554
GARS,446.18408,68,20.299696,0.0,718
GNG13,432.8039,69,17.148333,0.0,963
COPS2,429.216,70,-8.268749,2.9447264e-13,6337
ARL6IP1,428.12845,71,18.979624,0.0,827
PTK2,425.78326,72,12.022613,5.2955644e-28,2435
KDM4A,425.4635,73,3.5397546,0.00056141475,12324
GUSBP4,425.3645,74,-6.2981577,7.0668187e-09,8432
RIBC2,423.02707,75,14.535675,3.9617932e-28,2410
RPL29,422.74228,76,-4.6573853,8.914594e-06,10593
TMCC1,422.3199,77,3.2651534,0.0013505431,12785
ELAVL2,421.95975,78,15.865753,0.0,1016
FLCN,418.27026,79,-8.284964,2.4287262e-13,6295
TMEM11,417.94345,80,-3.4773662,0.00066644046,12401
SERBP1,417.38794,81,-3.9386914,0.00013534662,11687
VCAM1,414.23553,82,-1.8272542,0.06999619,15720
HDX,413.273,83,-3.9169831,0.00014750042,11736
ARF5,411.36182,84,16.175295,9.878221e-39,1159
ZBP1,409.68317,85,7.050735,5.509169e-11,7306
DDX11L1,408.539,86,-0.28157163,0.77878636,20021
CCT4,405.60956,87,1.3884857,0.1668911,16727
C11orf16,403.46942,88,3.4874198,0.00062451325,12367
PDLIM7,395.62805,89,1.0498575,0.29581657,17659
PDPN,394.18304,90,-5.39114,3.5154795e-07,9548
GNB2,392.49808,91,11.299064,5.743122e-21,3872
C1orf49,387.36847,92,2.337924,0.020336563,14609
HOGA1,386.40677,93,-14.217293,2.141928e-26,2715
NUDT16L1,385.16327,94,24.610685,0.0,330
MSX1,383.38803,95,-9.366336,1.5852611e-15,5439
RAD50,382.24554,96,0.6762878,0.5000943,18752
SELE,381.90167,97,-3.7045844,0.00034813932,12108
CD47,378.8305,98,-6.1374803,1.0954275e-08,8549
PRKCZ,375.8636,99,8.541573,5.6049156e-14,6030
CDH10,370.2328,100,-2.6463168,0.009390028,13965
PDP1,368.58643,101,-3.8165922,0.0002087688,11893
DBI,366.422,102,-4.2780304,3.705254e-05,11149
APRT,365.35193,103,5.482155,2.0098244e-07,9375
ARPC3,362.45282,104,18.02244,0.0,900
YBX1,361.70068,105,-7.9699373,2.3511282e-13,6285
CCT8,360.8974,106,9.960812,5.4144985e-18,4680
ARF4,360.34412,107,14.233885,1.2079595e-30,2006
HNRPDL,360.13458,108,-8.944585,1.4401615e-14,5796
SRSF12,357.2234,109,-5.503467,1.8611352e-07,9344
KDM4B,354.94516,110,9.005751,2.436099e-15,5504
CTNNB1,354.19824,111,-4.908746,3.0372532e-06,10220
HEATR7A,348.204,112,5.685981,9.516161e-08,9142
CHMP6,345.60455,113,2.9438615,0.0037976564,13377
VPS8,339.49976,114,2.5569017,0.011625542,14152
NFKBIE,339.4335,115,11.27816,6.2693124e-20,4162
ACTR2,337.75458,116,11.199795,1.2985423e-21,3715
DNAJB12,337.72235,117,-1.8870925,0.061379794,15573
PRG3,334.72272,118,-1.5570909,0.12279898,16351
CNEP1R1,334.35745,119,-7.6501822,4.3292457e-12,6787
SV2A,331.62646,120,-5.8966193,4.088693e-08,8906
EIF4E1B,329.61902,121,10.062686,1.4639443e-22,3496
ZFR2,329.13913,122,4.67418,3.6520491e-06,10279
NDUFV1,328.85065,123,-2.1258655,0.035589818,15082
EIF3K,326.41125,124,-8.308385,1.2392279e-13,6173
TMCO1,324.02075,125,26.82058,0.0,214
TMEM107,321.79556,126,-3.1790164,0.0017225627,12921
GSTT2,319.37317,127,-3.5657063,0.0005509688,12315
TWSG1,318.9383,128,5.431288,2.2684601e-07,9414
SEPT5-GP1BB,317.70828,129,2.1663148,0.032355897,14981
SFRP4,317.17432,130,-3.375191,0.0010049907,12612
CARD10,316.53836,131,-6.72317,5.545786e-10,7811
SFSWAP,315.52896,132,0.25896785,0.79612637,20096
ACTR3,309.76007,133,13.279626,3.0805447e-28,2396
ING2,309.61847,134,5.827786,2.6308424e-08,8782
TMEM105,308.76758,135,4.559961,1.0044213e-05,10636
PSMD3,308.6138,136,13.588002,4.330337e-33,1716
COQ10B,307.36893,137,0.5179376,0.6055291,19252
HOMER1,307.14838,138,-1.8305843,0.06960637,15714
NOTCH3,306.50586,139,-1.0377605,0.3012962,17688
SSC5D,305.48944,140,-1.9303865,0.056057777,15482
PTDSS2,305.18723,141,1.8004719,0.07349888,15775
RAC1,304.58032,142,2.4799707,0.014369818,14321
SCARNA20,304.36145,143,-0.8245145,0.41141593,18349
DDIT3,304.2035,144,-3.1995478,0.0017758183,12942
SFTPC,303.1759,145,-1.3161588,0.19115686,16919
CCT8L2,301.9665,146,-0.8383484,0.40351975,18314
ELANE,301.5873,147,-15.967372,5.772276e-29,2285
LMLN,297.47235,148,7.3365455,2.3531435e-11,7132
EIF1AY,294.76355,149,3.4581707,0.000577393,12343
RAB30,293.69644,150,-0.2974604,0.7664823,19967
HNRNPKP3,292.5712,151,4.9188466,3.0716667e-06,10227
DDX46,291.37244,152,2.359632,0.019884909,14587
HOMEZ,289.4914,153,4.7486653,4.3653813e-06,10333
HNRNPU,288.15497,154,14.240823,7.563851e-30,2138
NID2,287.67267,155,7.4642234,6.6147075e-12,6875
NUDT16P1,285.9343,156,-0.27127832,0.7864497,20053
CAPN10,285.85834,157,1.7199476,0.08805225,15962
THAP7-AS1,285.73853,158,-5.1504836,1.1343735e-06,9871
PTPRVP,284.27893,159,-3.9426146,0.00014854426,11738
C19orf66,275.8839,160,0.050237905,0.9599974,20707
SPOCK3,275.84805,161,-8.095506,1.5549262e-12,6620
BANF2,274.71973,162,-0.5765903,0.5653104,19061
SELK,273.8764,163,-2.5751908,0.010869661,14093
AP2S1,273.28552,164,19.604202,0.0,766
SETMAR,270.7126,165,-9.251427,1.0106333e-15,5371
HOOK3,270.03873,166,-6.2429137,7.4800575e-09,8452
ARL6IP5,268.87207,167,-8.384381,1.9342683e-13,6246
NAV1,268.43842,168,-0.9808482,0.32871544,17867
KRT12,268.04477,169,2.8952484,0.003930109,13395
PML,267.62912,170,-7.8981466,5.2923676e-13,6441
KANK4,265.04153,171,-9.889047,1.4829158e-17,4802
TGFBI,264.04584,172,1.9421903,0.05395986,15445
L3MBTL3,262.7401,173,-5.095686,1.165026e-06,9876
RNF214,262.4453,174,-12.171028,1.6404337e-22,3504
HDAC9,262.3069,175,-4.5739336,1.1596555e-05,10686
HNRNPL,261.44583,176,16.15543,2.6028257e-35,1448
AUP1,260.7596,177,14.894414,1.0508231e-34,1509
STEAP3,260.53796,178,-5.184301,8.1385656e-07,9789
ADD1,259.57004,179,-14.629358,3.0223168e-28,2395
SERPINB1,258.5251,180,-2.7320876,0.0070088822,13763
SCARF1,258.0807,181,-11.248036,2.961162e-19,4343
STX4,257.839,182,8.521942,2.2419099e-14,5872
ERMN,256.95392,183,15.18073,9.980942e-35,1504
KIAA0100,256.77484,184,-3.4756227,0.0006572698,12390
LRP6,256.65555,185,-8.431426,1.1529464e-13,6163
PSD3,254.55235,186,3.4543705,0.0006920656,12420
HOMER3,254.42578,187,11.010485,2.3183207e-20,4046
NUDT18,253.38141,188,7.099128,2.1174765e-11,7105
MLL5,253.18425,189,-5.5424747,2.0659593e-07,9381
NAMPT,252.99434,190,-5.957378,2.4727004e-08,8766
SDS,252.71498,191,17.693806,2.7544669e-33,1691
ELK4,251.84222,192,-1.2118298,0.22808109,17184
VGLL3,250.97177,193,-13.78717,1.997194e-25,2880
TMOD3,250.47258,194,1.2924082,0.19883497,16985
TAF7,249.52246,195,-6.6129985,5.9534006e-10,7826
ST6GALNAC2,249.3367,196,1.6565286,0.09980711,16102
SRSF3,248.73471,197,-1.8688362,0.06450477,15626
GORASP2,247.71114,198,9.509434,8.106256e-17,5043
MYBBP1A,247.52655,199,-2.4061148,0.017856792,14506
NUP214,247.29082,200,-3.0891106,0.0024981764,13123
RAB1A,246.87389,201,7.3556867,1.2492263e-11,6999
DYX1C1,246.65155,202,8.015281,6.8421186e-13,6483
SEC23B,245.6202,203,11.576434,5.954445e-23,3410
REM2,245.03305,204,13.188102,1.786122e-27,2533
AAMP,244.99457,205,5.1163034,1.1564398e-06,9873
C2orf29,244.53323,206,11.782795,6.6694577e-22,3654
STBD1,242.65839,207,-10.443731,1.6447638e-17,4816
HNRNPR,242.53506,208,6.8221865,2.9635402e-10,7670
PSMC3,242.27191,209,6.6930356,5.3907584e-10,7803
NDUFS1,241.59767,210,-2.6970618,0.008052862,13861
LOC653513,240.55492,211,-3.3860993,0.00097014266,12594
NR0B2,239.89719,212,0.8625548,0.39015228,18236
CISD1,239.30579,213,6.389768,1.8523084e-09,8096
ZNF680,238.12791,214,-0.54124045,0.58933336,19166
AHSA1,238.07945,215,8.785855,7.278929e-15,5677
TMEM161B,237.73459,216,0.36121145,0.7186211,19752
EIF3IP1,237.59416,217,10.303843,2.2948655e-19,4314
MRPL39,236.70853,218,-1.4938613,0.13721706,16490
UBE2M,236.49373,219,13.8430805,3.137363e-28,2399
TMEM41B,235.71509,220,8.150659,5.6208483e-13,6452
EIF3J,234.93752,221,4.0615726,7.4454205e-05,11413
AKR1A1,234.82538,222,6.5624475,1.682443e-09,8076
TOP3A,232.57181,223,1.7881305,0.07634043,15820
CDC42BPA,231.99231,224,-5.6743956,9.200671e-08,9126
STK33,230.79199,225,-1.9085524,0.058313858,15522
ATP6V0D1,230.06052,226,2.5801928,0.010894747,14095
SLC40A1,229.05615,227,-3.342136,0.00096501753,12590
HPRT1,228.3787,228,17.879879,0.0,905
RNU86,227.76158,229,-1.4749081,0.14283113,16537
RAB35,227.46278,230,3.596024,0.00044888665,12208
CHD7,227.27962,231,0.34839427,0.72801423,19784
ARCN1,226.74196,232,0.7957419,0.42742237,18418
SUPV3L1,226.32947,233,-2.1343758,0.03463623,15050
FAM123A,226.12611,234,1.7601068,0.079563566,15867
ODF3L1,225.7612,235,-16.695324,2.216464e-30,2043
SSNA1,225.65228,236,14.359372,1.1547195e-31,1865
SEL1L2,225.5729,237,-10.609977,1.2552788e-17,4786
TMEM92,225.4997,238,15.630632,3.5635548e-36,1378
MRPL42P5,224.6047,239,-0.95044696,0.34388772,17950
SNTN,224.05096,240,14.623663,2.75271e-40,1045
PTPN14,223.42032,241,-21.404936,0.0,616
SSBP2,222.85556,242,-9.668472,7.438056e-17,5031
QTRT1,221.74207,243,2.8723016,0.004706127,13510
SNRPD3,221.17586,244,9.074232,2.4262465e-15,5502
MS4A1,220.97404,245,2.3479602,0.02049032,14620
DIDO1,220.83826,246,-0.34079072,0.7338034,19813
PGBD3,220.61417,247,-3.864679,0.00018497062,11836
FAM9B,220.35956,248,0.99033415,0.32359353,17835
UCP1,220.0406,249,-6.024827,1.759354e-08,8676
MRPL45,219.88345,250,-4.947548,1.6433547e-06,10004
CAPRIN2,219.73027,251,-8.312173,1.798633e-13,6236
PRR15,219.44357,252,11.150078,4.206499e-21,3841
ITGA2,219.00964,253,-3.100679,0.002469285,13120
MMP17,218.84998,254,4.6654606,7.2966477e-06,10513
PALM3,218.79477,255,-0.16885802,0.86620015,20382
XRN2,218.10089,256,2.1235356,0.03544852,15077
PPP2R5B,218.04788,257,-6.7211127,5.2132004e-10,7794
DHX35,216.98878,258,-0.85297287,0.39531243,18265
CLDND1,216.22818,259,-10.367516,8.2567494e-19,4458
PPP1R13B,216.2273,260,-1.5825292,0.11631594,16286
NARS2,215.51941,261,3.9885604,9.193308e-05,11506
RAB26,215.26541,262,21.02587,0.0,657
SFPQ,213.54907,263,10.023893,2.0090285e-17,4850
HNRNPUL1,213.51773,264,2.3480916,0.020174414,14600
PCSK4,212.52386,265,7.979239,5.621261e-13,6453
SNX31,212.47354,266,-5.156694,1.1285687e-06,9865
ESR1,211.36508,267,13.548246,6.4653034e-34,1613
CAPZA2,211.15298,268,-4.7585554,5.8216688e-06,10437
NIPA1,211.10587,269,9.304361,2.39087e-17,4871
C20orf4,210.82965,270,3.7804847,0.00019155847,11860
RNF2,210.72285,271,9.462481,3.1741785e-17,4914
NEDD9,210.64899,272,-15.99994,2.2678356e-32,1802
LMF2,210.29468,273,-0.33305204,0.73959607,19844
IRGM,210.13414,274,-0.55004734,0.58343965,19146
ANP32B,209.923,275,-0.046490878,0.96298254,20719
NDUFA12,208.48503,276,5.2003736,7.1029655e-07,9745
SEC14L1,208.43562,277,-15.400835,6.2044495e-30,2123
ICK,208.05072,278,-5.5341344,1.9342409e-07,9361
FAM19A2,207.61209,279,-9.095004,2.4942976e-16,5198
PI4KB,207.35316,280,6.00121,1.0155608e-08,8530
POLR3K,207.32706,281,24.004217,0.0,370
PRR25,206.62195,282,5.4382353,2.264666e-07,9411
GAB2,205.61722,283,-9.404607,1.3562776e-16,5105
NIPA2,205.05336,284,9.370124,6.592439e-17,5016
HNRNPA3P1,204.33643,285,8.798993,3.459119e-15,5566
VRK1,204.32632,286,6.939454,1.3399562e-10,7486
EIF1AX,203.94583,287,-4.459023,1.9390322e-05,10879
UBE2V2,203.82144,288,9.167945,1.520494e-16,5122
NDUFB6,203.72815,289,9.367521,8.495259e-18,4743
CDC42SE2,203.29169,290,-4.8721967,3.5157432e-06,10273
TCTN1,202.8591,291,6.4454827,1.1349295e-09,7996
TNFSF15,202.64105,292,-0.9850999,0.3265794,17851
IDH3G,201.76044,293,3.2474685,0.001407687,12809
KATNAL1,201.66962,294,-11.177287,2.9295542e-19,4341
TAMM41,201.0175,295,-2.6338174,0.009609726,13983
PPP4R2,200.55429,296,1.929373,0.055963542,15481
CKLF,200.46371,297,11.406662,5.291478e-23,3399
SS18L2,199.66316,298,5.868771,3.9724434e-08,8898
VAX1,198.82724,299,4.5231547,6.9827297e-06,10500
RPS6KA5,198.44852,300,-6.933395,4.140986e-10,7749
EIF4G2,198.19693,301,0.28325438,0.777442,20010
SRP54,196.72409,302,13.022044,4.4103266e-26,2774
LUZP1,195.81448,303,-12.311495,3.0516636e-22,3575
ZMYND11,195.24744,304,-2.8593059,0.004963906,13542
CCDC73,194.97923,305,-7.523742,1.3167947e-11,7006
UBE2G1,194.23125,306,-2.6884894,0.008119451,13869
TMEM127,193.84427,307,5.3848834,2.4057843e-07,9424
PSTPIP2,193.71437,308,-1.3542542,0.17838189,16828
PSMG1,193.5957,309,5.226328,5.357967e-07,9655
