fold,feature_set,n_features,genes_json
1,H2C_train_rule_top37,37,"[""LOC641367"", ""TSC22D4"", ""ATP12A"", ""CLP1"", ""MIR892A"", ""LIPH"", ""SOST"", ""SNORD110"", ""LOC100506071"", ""PROKR2"", ""MIR132"", ""MIR4281"", ""LOC100506585"", ""LOC283663"", ""SEMA4G"", ""JMJD6"", ""GPR82"", ""LOC90246"", ""MIR1203"", ""PROP1"", ""C10orf113"", ""C22orf24"", ""GPR98"", ""SPCS3"", ""C5orf28"", ""SCOC"", ""DNTT"", ""SPDYE6"", ""PRAMEF11"", ""NR2E1"", ""CIITA"", ""HTR5A"", ""MYO10"", ""BCRP3"", ""MSL3"", ""OR2D3"", ""LOC100507362""]"
1,TDA_top200_train,200,"[""LOC641367"", ""TSC22D4"", ""XPNPEP2"", ""RGS7"", ""LOC388942"", ""SLC1A1"", ""CLEC5A"", ""ATP12A"", ""CXCR4"", ""CG030"", ""ZNF853"", ""MAEA"", ""SPAG8"", ""CLP1"", ""MIR892A"", ""FCGR2A"", ""LIPH"", ""ZFP1"", ""MIR1207"", ""PFKL"", ""LOC100505679"", ""SOST"", ""AMPD1"", ""CCDC144C"", ""DHRS2"", ""SNORD110"", ""LOC100506668"", ""KIR2DS4"", ""SZT2"", ""DTX1"", ""SNORA26"", ""ADRA1D"", ""LOC100506071"", ""ADARB2"", ""PROKR2"", ""FAM160B1"", ""MIR15A"", ""GZF1"", ""DSCR6"", ""NSUN7"", ""MIR132"", ""LOC100129518"", ""CDK16"", ""SLC2A4"", ""SLC7A4"", ""MIR4281"", ""LOC100506585"", ""LOC283663"", ""C10orf107"", ""SLC30A4"", ""LOC284688"", ""SEMA4G"", ""JMJD6"", ""GPR82"", ""LOC90246"", ""C1orf151-NBL1"", ""MIR1203"", ""AQP2"", ""CCDC109B"", ""PROP1"", ""PMPCA"", ""EPHA7"", ""MIA2"", ""FFAR2"", ""C10orf113"", ""ZC3H6"", ""CGN"", ""STX12"", ""MAG"", ""SERPINB3"", ""CLCA3P"", ""FBLN1"", ""AZGP1P1"", ""C22orf24"", ""GPR98"", ""MIR4271"", ""C14orf182"", ""VTRNA2-1"", ""SPCS3"", ""CPNE3"", ""NRADDP"", ""C5orf28"", ""SCOC"", ""P2RY14"", ""LACE1"", ""ZNF653"", ""NUBP1"", ""ADAMTS19"", ""ADRA1A"", ""AOC4"", ""DNTT"", ""LOC100132352"", ""RFX6"", ""HHEX"", ""SCFD2"", ""SPDYE6"", ""TXNDC15"", ""UROS"", ""CNIH"", ""LOC81691"", ""SPG21"", ""ARL13A"", ""DEFB115"", ""F2RL2"", ""LOC100506930"", ""PRAMEF11"", ""NR2E1"", ""CIITA"", ""PSMA8"", ""RAP1GAP"", ""AGPAT4-IT1"", ""LOC399708"", ""LEPROT"", ""DNMBP"", ""LETMD1"", ""PARD3B"", ""LARP4B"", ""MKL1"", ""HTR5A"", ""GLRX3"", ""MYO10"", ""SLC25A20"", ""CYP4F2"", ""BCRP3"", ""MSL3"", ""OR2D3"", ""LOC100506274"", ""SLC29A1"", ""LOC100506660"", ""SNRPA"", ""TRPM8"", ""ACCN1"", ""LOC100507362"", ""LOC100132354"", ""WASF2"", ""GDF11"", ""LOC100128496"", ""MARCO"", ""ARHGEF33"", ""FAM183B"", ""DGKK"", ""MIR548T"", ""ITGB2"", ""LOC284080"", ""APCS"", ""MSTO1"", ""DRG2"", ""C22orf32"", ""MAGEA3"", ""KCTD12"", ""LOC100507489"", ""LOC283089"", ""LOC283710"", ""IFT140"", ""C9orf5"", ""FLJ31485"", ""LINC00273"", ""AXDND1"", ""KLHL7-AS1"", ""RAD54B"", ""LOC100507577"", ""MIR3192"", ""MBD3L3"", ""ODZ2"", ""ETF1"", ""PLSCR4"", ""CHRNA1"", ""DUSP21"", ""RTKN2"", ""PLAC1L"", ""C9orf139"", ""DEFB131"", ""FRY"", ""CCDC61"", ""CDH9"", ""LOC339975"", ""CCDC37"", ""MIR1468"", ""MADCAM1"", ""MNX1"", ""C8orf37"", ""PCDP1"", ""SNORA49"", ""LOC219347"", ""LOC100128946"", ""CYP26A1"", ""LOC100233209"", ""LINC00548"", ""ABCG4"", ""LOC221122"", ""CYP4Z2P"", ""MPZ"", ""PTCD2"", ""KHSRP"", ""LOC550112"", ""LOC100506046"", ""ANP32A-IT1"", ""GOLGA8IP"", ""RFX4"", ""MIR139""]"
1,Euclidean_top200_train,200,"[""COL10A1"", ""SPRY2"", ""COL11A1"", ""ARF1"", ""SLC24A2"", ""IBSP"", ""CST1"", ""MATN2"", ""MIR4508"", ""ITM2A"", ""LOC283867"", ""SCN4B"", ""MME"", ""HOXA4"", ""FMO2"", ""TMEM220"", ""CCDC167"", ""UBE2T"", ""C2orf40"", ""PAFAH1B3"", ""HOXA5"", ""ANKRD29"", ""MMP13"", ""CILP2"", ""JTB"", ""NEK2"", ""SYNM"", ""NTRK2"", ""IL33"", ""CCL11"", ""HSD17B6"", ""KIAA0101"", ""WISP1"", ""MAMDC2"", ""C5orf4"", ""ADAMTS5"", ""DMD"", ""SFRP1"", ""NDRG2"", ""PLAC1"", ""CCNB1"", ""LMOD1"", ""CXCL2"", ""SPC25"", ""RERGL"", ""KIF4A"", ""EPYC"", ""TSLP"", ""NR3C2"", ""C1orf31"", ""CACHD1"", ""RUSC1"", ""SDPR"", ""CYYR1"", ""GJB2"", ""HLF"", ""TSHZ2"", ""IL11RA"", ""RGN"", ""PPP4C"", ""KIF4B"", ""KLHL29"", ""CRYAB"", ""PROS1"", ""GPRIN1"", ""TGFBR3"", ""NFIB"", ""C16orf59"", ""CERS2"", ""CTHRC1"", ""LAGE3"", ""PAMR1"", ""CNIH2"", ""MMP1"", ""RNASEH2A"", ""CDC25C"", ""H2AFZ"", ""GABRD"", ""LINC00478"", ""GIPC2"", ""SLC50A1"", ""ANXA1"", ""SCAMP3"", ""SKA1"", ""AURKA"", ""FLAD1"", ""JAM2"", ""BOC"", ""CD300LG"", ""OIP5"", ""ID4"", ""INHBA"", ""HOXA3"", ""NUSAP1"", ""POLR3K"", ""MMP11"", ""MIR100HG"", ""UBE2C"", ""GPR172A"", ""SALL4"", ""LSM4"", ""APOA1BP"", ""SCT"", ""METTL11B"", ""NEIL3"", ""ADAM33"", ""APCDD1"", ""OR2B6"", ""PLK1"", ""PYCR1"", ""RNFT2"", ""TPX2"", ""TSPAN7"", ""LRIG3"", ""FAM49A"", ""TCEAL7"", ""PPAPDC1A"", ""TSTA3"", ""WBSCR28"", ""MYH11"", ""CDKN3"", ""METTL7A"", ""GPRASP1"", ""NUF2"", ""CDK1"", ""LIMS2"", ""CDCA3"", ""PARP1"", ""CSDAP1"", ""MIR497HG"", ""TMTC1"", ""MELK"", ""POC1A"", ""MSRA"", ""PPP1R14A"", ""FAM54A"", ""TROAP"", ""DAP3"", ""S100B"", ""AIM1L"", ""H2AFX"", ""PTTG1"", ""IQGAP3"", ""PGM5"", ""PLAGL1"", ""ERCC6L"", ""CHRNA6"", ""TIMM17A"", ""SGCE"", ""TNFRSF10D"", ""KIF20A"", ""ATP6V0B"", ""PTTG3P"", ""GINS1"", ""CAPN11"", ""CLSPN"", ""C1QTNF6"", ""LOC100127983"", ""RBMS3"", ""VIT"", ""LIFR"", ""HJURP"", ""CDCA5"", ""MET"", ""HIST1H2AM"", ""CSDA"", ""CLEC5A"", ""LOC100128338"", ""NUAK2"", ""SLC25A27"", ""TFR2"", ""RGMA"", ""CDCA8"", ""P4HA3"", ""TCF7L1"", ""CEP55"", ""GPC3"", ""CLDN11"", ""TACC3"", ""KIF23"", ""NDC80"", ""PARK2"", ""ROBO3"", ""CDK5"", ""CCT3"", ""REEP4"", ""PLA2G4A"", ""NACC1"", ""LAMTOR2"", ""MRPL17"", ""CHL1"", ""CDC45"", ""SPC24"", ""ANLN"", ""C19orf21"", ""EXO1"", ""KPNA2"", ""CENPA"", ""GRM8"", ""ATP6AP1""]"
1,Latent_32d_fold_combat,32,"[""z0"", ""z1"", ""z2"", ""z3"", ""z4"", ""z5"", ""z6"", ""z7"", ""z8"", ""z9"", ""z10"", ""z11"", ""z12"", ""z13"", ""z14"", ""z15"", ""z16"", ""z17"", ""z18"", ""z19"", ""z20"", ""z21"", ""z22"", ""z23"", ""z24"", ""z25"", ""z26"", ""z27"", ""z28"", ""z29"", ""z30"", ""z31""]"
2,H2C_train_rule_top37,37,"[""LOC641367"", ""TSC22D4"", ""MIR892A"", ""ATP12A"", ""SNORD110"", ""CLP1"", ""LOC388942"", ""DHRS2"", ""SOST"", ""LIPH"", ""LOC100506585"", ""LOC283663"", ""MIR132"", ""MIR4281"", ""LOC90246"", ""SEMA4G"", ""MIR1203"", ""C22orf24"", ""JMJD6"", ""C10orf113"", ""PSMA8"", ""GPR98"", ""PRAMEF11"", ""SPCS3"", ""CIITA"", ""MSL3"", ""DEFB131"", ""TRPM8"", ""CCDC61"", ""NR2E1"", ""MYO10"", ""LOC283710"", ""CYP26A1"", ""FFAR2"", ""NSUN7"", ""HTR5A"", ""CDH9""]"
2,TDA_top200_train,200,"[""LOC641367"", ""RGS7"", ""XPNPEP2"", ""CLEC5A"", ""TSC22D4"", ""MIR892A"", ""ATP12A"", ""SNORD110"", ""AMPD1"", ""CLP1"", ""FCGR2A"", ""ZNF853"", ""LOC388942"", ""DHRS2"", ""CG030"", ""CXCR4"", ""LOC100505679"", ""SOST"", ""MIR1207"", ""CCDC144C"", ""ADRA1D"", ""LIPH"", ""DTX1"", ""SPAG8"", ""ZFP1"", ""SLC7A4"", ""DSCR6"", ""LOC100506585"", ""LOC100129518"", ""C1orf151-NBL1"", ""LOC283663"", ""MIR132"", ""MIR4281"", ""PROP1"", ""PFKL"", ""LOC90246"", ""ADARB2"", ""CDK16"", ""SEMA4G"", ""SLC1A1"", ""SZT2"", ""MIR1203"", ""AOC4"", ""C10orf107"", ""FBLN1"", ""SNORA26"", ""C22orf24"", ""ADRA1A"", ""MAEA"", ""AQP2"", ""TXNDC15"", ""LOC100132352"", ""JMJD6"", ""ZC3H6"", ""PMPCA"", ""C10orf113"", ""PSMA8"", ""LETMD1"", ""SCOC"", ""LOC284688"", ""GPR98"", ""MIR548T"", ""VTRNA2-1"", ""SNRPA"", ""ADAMTS19"", ""CCDC109B"", ""SLC2A4"", ""LOC81691"", ""MIR15A"", ""PRAMEF11"", ""GLRX3"", ""GZF1"", ""MAG"", ""PROKR2"", ""HHEX"", ""C14orf182"", ""FAM160B1"", ""CNIH"", ""SPCS3"", ""CIITA"", ""CHRNA1"", ""MSL3"", ""FAM183B"", ""NUBP1"", ""RFX6"", ""P2RY14"", ""MIR4271"", ""LOC100506668"", ""MIA2"", ""DEFB131"", ""MKL1"", ""TRPM8"", ""CLEC4C"", ""CCDC61"", ""KIR2DS4"", ""AZGP1P1"", ""NRADDP"", ""SLC25A20"", ""LACE1"", ""LOC399708"", ""RTKN2"", ""NR2E1"", ""MYO10"", ""GPR82"", ""MADCAM1"", ""LOC100507362"", ""DNTT"", ""STX12"", ""LOC283710"", ""CYP26A1"", ""DEFB115"", ""SLC29A1"", ""PTGDS"", ""FFAR2"", ""PCDP1"", ""C5orf28"", ""RAP1GAP"", ""LEPROT"", ""NSUN7"", ""HTR5A"", ""KLHL7-AS1"", ""EPHA7"", ""LOC100128496"", ""LOC100128946"", ""ROGDI"", ""LOC100128822"", ""CDH9"", ""COL14A1"", ""MARCO"", ""MAGEA3"", ""ARL13A"", ""ARHGEF33"", ""CLCA3P"", ""TM9SF2"", ""ZNF653"", ""CRYBB2"", ""LOC100233209"", ""DRG2"", ""LINC00548"", ""ANP32A-IT1"", ""MKKS"", ""OR2D3"", ""SPG21"", ""RECQL4"", ""LOC339975"", ""BSPH1"", ""KCTD12"", ""MIR4420"", ""MIR548Q"", ""KHSRP"", ""ILDR1"", ""LOC284080"", ""DNMBP"", ""SNORD95"", ""IFT140"", ""FLJ31485"", ""ITGB2"", ""TAOK2"", ""ETF1"", ""MNX1"", ""PTPRM"", ""MBD3L3"", ""STAMBP"", ""TAS2R41"", ""C22orf32"", ""GDF11"", ""LOC100132354"", ""CGN"", ""LOC100506660"", ""LOC100507577"", ""PLSCR4"", ""MADD"", ""SNORD63"", ""CYP4Z2P"", ""OR5AK2"", ""SCFD2"", ""AGPAT4-IT1"", ""ZNF557"", ""ENTPD7"", ""PARD3B"", ""LOC100506071"", ""SP4"", ""F2RL2"", ""MIR139"", ""FRMD8"", ""SERPINB3"", ""PRKACA"", ""FOXL1"", ""ACCN4"", ""C8orf37"", ""SNAPC2"", ""SLC39A9"", ""SLFN5"", ""UROS"", ""LOC100506241"", ""LOC678655"", ""LOC219347"", ""ODZ2"", ""FLJ31306"", ""BCRP3""]"
2,Euclidean_top200_train,200,"[""COL10A1"", ""MMP11"", ""MIR4508"", ""MATN2"", ""SPRY2"", ""COL11A1"", ""NTRK2"", ""SCN4B"", ""HOXA4"", ""TINAGL1"", ""MME"", ""LOC283867"", ""C2orf40"", ""TMEM220"", ""CYYR1"", ""CACHD1"", ""ADAMTS5"", ""IBSP"", ""ITM2A"", ""SLC24A2"", ""SFRP1"", ""FMO2"", ""HOXA5"", ""DMD"", ""NEK2"", ""MAMDC2"", ""C5orf4"", ""ARF1"", ""ANKRD29"", ""SCT"", ""BOC"", ""LMOD1"", ""JTB"", ""SPC25"", ""CILP2"", ""WISP1"", ""KLHL29"", ""IL33"", ""CCL11"", ""IL11RA"", ""KIAA0101"", ""MMP13"", ""CST1"", ""TGFBR3"", ""SYNM"", ""MIR497HG"", ""TSHZ2"", ""NFIB"", ""GIPC2"", ""NR3C2"", ""PLAC1"", ""SIRPA"", ""PARP1"", ""C1orf31"", ""PROS1"", ""NDRG2"", ""RGN"", ""KIF4A"", ""RERGL"", ""HSD17B6"", ""FLAD1"", ""SDPR"", ""CCNB1"", ""ASF1B"", ""ID4"", ""TDO2"", ""GJB2"", ""HLF"", ""LIMS2"", ""KIF4B"", ""ANXA1"", ""TIMM17A"", ""MMP1"", ""LOC100507600"", ""LAGE3"", ""GPRIN1"", ""HOXA3"", ""PAMR1"", ""CRYAB"", ""ZWINT"", ""H2AFZ"", ""PPP4C"", ""OIP5"", ""LRIG3"", ""PPP1R14A"", ""APCDD1"", ""DAP3"", ""S100B"", ""NUSAP1"", ""TCF7L1"", ""AURKA"", ""CERS2"", ""EPYC"", ""LSM4"", ""CSDAP1"", ""PPAPDC1A"", ""CDC25C"", ""SGCE"", ""SKA1"", ""GABRD"", ""NUAK2"", ""LOC100127983"", ""VIT"", ""MIR100HG"", ""METTL7A"", ""GPRASP1"", ""TACC3"", ""ADAM33"", ""MYH11"", ""APOA1BP"", ""UBE2T"", ""TSTA3"", ""NUF2"", ""NEIL3"", ""FAM49A"", ""SLC50A1"", ""RAD51"", ""TSPAN7"", ""CCR8"", ""CHRNA6"", ""ROBO3"", ""CTHRC1"", ""RUSC1"", ""TCEAL7"", ""C19orf21"", ""CD300LG"", ""TSLP"", ""POLR3K"", ""RNASEH2A"", ""C1QTNF6"", ""CXCL2"", ""CLDN11"", ""KIF23"", ""PGM5"", ""JAM2"", ""WDR62"", ""PLAGL1"", ""TTC23"", ""CAPN11"", ""AIM1L"", ""CNIH2"", ""LINC00478"", ""CLSPN"", ""RNFT2"", ""HJURP"", ""RGMA"", ""LAMTOR2"", ""CLEC5A"", ""CHL1"", ""SCAMP3"", ""METTL11B"", ""WBSCR28"", ""FAM54A"", ""LIFR"", ""TPX2"", ""SALL4"", ""PLK1"", ""SGOL1"", ""CDK1"", ""ANKRD35"", ""INHBA"", ""FAM107A"", ""PRIMA1"", ""POC1A"", ""CSDA"", ""KIF14"", ""LOC100131176"", ""CCDC167"", ""ITPRIPL1"", ""TMTC1"", ""MET"", ""TROAP"", ""E2F8"", ""CENPM"", ""PTTG3P"", ""TNFRSF10D"", ""ERCC6L"", ""SCARA5"", ""MEIS2"", ""UBE2C"", ""SYN2"", ""CCT3"", ""ASPM"", ""TFR2"", ""HDGF"", ""MAPKAPK2"", ""BUB1B"", ""OSR1"", ""LMNB1"", ""ISM1"", ""MIR143HG"", ""FEN1"", ""TOR3A"", ""CDK5"", ""CDCA8"", ""ATP6AP1"", ""MELK"", ""RBMS3"", ""KIF20A"", ""HAGHL""]"
2,Latent_32d_fold_combat,32,"[""z0"", ""z1"", ""z2"", ""z3"", ""z4"", ""z5"", ""z6"", ""z7"", ""z8"", ""z9"", ""z10"", ""z11"", ""z12"", ""z13"", ""z14"", ""z15"", ""z16"", ""z17"", ""z18"", ""z19"", ""z20"", ""z21"", ""z22"", ""z23"", ""z24"", ""z25"", ""z26"", ""z27"", ""z28"", ""z29"", ""z30"", ""z31""]"
3,H2C_train_rule_top37,37,"[""LOC641367"", ""TSC22D4"", ""LOC388942"", ""ATP12A"", ""CLP1"", ""MIR892A"", ""SOST"", ""SNORD110"", ""CCDC144C"", ""LOC100506071"", ""MIR132"", ""NSUN7"", ""LOC283663"", ""MIR4281"", ""LOC90246"", ""LOC100506585"", ""SEMA4G"", ""JMJD6"", ""PROP1"", ""FFAR2"", ""C10orf113"", ""C22orf24"", ""SERPINB3"", ""GPR98"", ""SPCS3"", ""LACE1"", ""DNTT"", ""SCFD2"", ""CIITA"", ""NR2E1"", ""DEFB115"", ""PRAMEF11"", ""HTR5A"", ""MSL3"", ""MYO10"", ""OR2D3"", ""BCRP3""]"
3,TDA_top200_train,200,"[""LOC641367"", ""XPNPEP2"", ""TSC22D4"", ""RGS7"", ""LOC388942"", ""SLC1A1"", ""CLEC5A"", ""CXCR4"", ""MAGI2"", ""CG030"", ""ATP12A"", ""ZNF853"", ""CLP1"", ""SPAG8"", ""MAEA"", ""MIR892A"", ""FCGR2A"", ""ZFP1"", ""LIPH"", ""MIR1207"", ""PFKL"", ""LOC100505679"", ""AMPD1"", ""DHRS2"", ""SOST"", ""SNORD110"", ""CCDC144C"", ""KIR2DS4"", ""LOC100506668"", ""DTX1"", ""SZT2"", ""ADRA1D"", ""PROKR2"", ""SNORA26"", ""LOC100506071"", ""ADARB2"", ""FAM160B1"", ""MIR15A"", ""GZF1"", ""DSCR6"", ""CDK16"", ""LOC100129518"", ""MIR132"", ""NSUN7"", ""C10orf107"", ""SLC7A4"", ""LOC283663"", ""MIR4281"", ""SLC2A4"", ""LOC90246"", ""LOC284688"", ""SLC30A4"", ""LOC100506585"", ""GPR82"", ""PMPCA"", ""C1orf151-NBL1"", ""CCDC109B"", ""SEMA4G"", ""EPHA7"", ""JMJD6"", ""MIR1203"", ""AQP2"", ""PROP1"", ""MIA2"", ""FFAR2"", ""C10orf113"", ""CGN"", ""MIR4271"", ""STX12"", ""CLCA3P"", ""MAG"", ""C22orf24"", ""FBLN1"", ""ZC3H6"", ""SERPINB3"", ""GPR98"", ""AZGP1P1"", ""VTRNA2-1"", ""SPCS3"", ""CPNE3"", ""C14orf182"", ""SCOC"", ""C5orf28"", ""NRADDP"", ""LACE1"", ""P2RY14"", ""ZNF653"", ""ADRA1A"", ""AOC4"", ""LOC81691"", ""NUBP1"", ""LOC100132352"", ""DNTT"", ""SPDYE6"", ""SCFD2"", ""ADAMTS19"", ""RFX6"", ""HHEX"", ""TXNDC15"", ""SPG21"", ""LOC100506930"", ""CNIH"", ""F2RL2"", ""UROS"", ""ARL13A"", ""AGPAT4-IT1"", ""PSMA8"", ""RAP1GAP"", ""CIITA"", ""NR2E1"", ""DEFB115"", ""PRAMEF11"", ""LEPROT"", ""HTR5A"", ""LOC399708"", ""LARP4B"", ""SLC25A20"", ""DNMBP"", ""PARD3B"", ""MKL1"", ""MSL3"", ""LETMD1"", ""MYO10"", ""OR2D3"", ""BCRP3"", ""SNRPA"", ""GLRX3"", ""LOC100506274"", ""CYP4F2"", ""LOC100506660"", ""WASF2"", ""LOC100128496"", ""LOC100507362"", ""LOC100132354"", ""SLC29A1"", ""ACCN1"", ""TRPM8"", ""MIR548T"", ""GDF11"", ""LOC284080"", ""FAM183B"", ""ARHGEF33"", ""ITGB2"", ""MARCO"", ""DGKK"", ""APCS"", ""MSTO1"", ""DRG2"", ""C22orf32"", ""MAGEA3"", ""IFT140"", ""LOC283710"", ""LOC100507489"", ""LINC00273"", ""KCTD12"", ""LOC283089"", ""C9orf5"", ""FLJ31485"", ""ZSCAN23"", ""AXDND1"", ""KLHL7-AS1"", ""CHRNA1"", ""MIR3192"", ""MBD3L3"", ""RAD54B"", ""ETF1"", ""ODZ2"", ""PLAC1L"", ""PLSCR4"", ""RTKN2"", ""CCDC61"", ""C9orf139"", ""LOC100507577"", ""FRY"", ""CCDC37"", ""DEFB131"", ""DUSP21"", ""MIR1468"", ""MADCAM1"", ""CDH9"", ""MNX1"", ""LOC339975"", ""C8orf37"", ""PCDP1"", ""MPZ"", ""SNORA49"", ""CYP26A1"", ""LOC219347"", ""ABCG4"", ""LOC100233209"", ""KHSRP"", ""PTCD2"", ""LINC00548"", ""LOC100128946"", ""CYP1B1-AS1"", ""RFX4"", ""MIR139"", ""CYP4Z2P"", ""GOLGA8IP"", ""SLC39A9""]"
