fold,feature_set,classifier,n_features,auc,f1,accuracy
1,H2C_train_rule_top37,LogisticRegression,37,0.7057894736842105,0.9480249480249481,0.9011857707509882
1,H2C_train_rule_top37,RandomForest,37,0.980701754385965,0.9700854700854701,0.9446640316205533
1,TDA_top200_train,LogisticRegression,200,0.9887719298245613,0.9889624724061811,0.9802371541501976
1,TDA_top200_train,RandomForest,200,0.9994736842105263,0.9891540130151844,0.9802371541501976
1,Euclidean_top200_train,LogisticRegression,200,0.9987719298245614,0.9934065934065934,0.9881422924901185
1,Euclidean_top200_train,RandomForest,200,0.9985964912280701,0.9934354485776805,0.9881422924901185
1,Latent_32d_fold_combat,LogisticRegression,32,0.9108771929824562,0.9436325678496869,0.8932806324110671
1,Latent_32d_fold_combat,RandomForest,32,0.8142105263157894,0.9509594882729211,0.9090909090909091
2,H2C_train_rule_top37,LogisticRegression,37,0.6914814814814816,0.9491525423728814,0.9036144578313253
2,H2C_train_rule_top37,RandomForest,37,0.9725925925925927,0.967741935483871,0.9397590361445783
2,TDA_top200_train,LogisticRegression,200,0.9625925925925926,0.9799554565701559,0.963855421686747
2,TDA_top200_train,RandomForest,200,0.995,0.9846153846153847,0.9718875502008032
2,Euclidean_top200_train,LogisticRegression,200,0.9966666666666667,0.9844097995545658,0.9718875502008032
2,Euclidean_top200_train,RandomForest,200,0.9961111111111112,0.9844789356984479,0.9718875502008032
2,Latent_32d_fold_combat,LogisticRegression,32,0.8935185185185185,0.9513742071881607,0.9076305220883534
2,Latent_32d_fold_combat,RandomForest,32,0.7084259259259259,0.9469214437367304,0.8995983935742972
3,H2C_train_rule_top37,LogisticRegression,37,0.6572890025575447,0.9414316702819957,0.889344262295082
3,H2C_train_rule_top37,RandomForest,37,0.9929175683651387,0.9757174392935982,0.9549180327868853
3,TDA_top200_train,LogisticRegression,200,0.9813102498524494,0.9720930232558139,0.9508196721311475
3,TDA_top200_train,RandomForest,200,1.0,1.0,1.0
3,Euclidean_top200_train,LogisticRegression,200,1.0,0.9954545454545455,0.9918032786885246
3,Euclidean_top200_train,RandomForest,200,1.0,0.9977324263038548,0.9959016393442623
3,Latent_32d_fold_combat,LogisticRegression,32,0.8709423568758607,0.9460043196544277,0.8975409836065574
3,Latent_32d_fold_combat,RandomForest,32,0.9055675782018493,0.9606986899563319,0.9262295081967213
4,H2C_train_rule_top37,LogisticRegression,37,0.7294170004450378,0.9461883408071748,0.8978723404255319
4,H2C_train_rule_top37,RandomForest,37,0.9721851357365376,0.9771689497716894,0.9574468085106383
4,TDA_top200_train,LogisticRegression,200,0.9944370271473075,0.983451536643026,0.9702127659574468
4,TDA_top200_train,RandomForest,200,0.9988874054294616,0.9861751152073732,0.9744680851063829
4,Euclidean_top200_train,LogisticRegression,200,1.0,0.9953051643192489,0.9914893617021276
4,Euclidean_top200_train,RandomForest,200,0.9997774810858923,0.9953488372093023,0.9914893617021276
4,Latent_32d_fold_combat,LogisticRegression,32,0.9047619047619047,0.9508928571428571,0.9063829787234042
4,Latent_32d_fold_combat,RandomForest,32,0.8004005340453938,0.9590909090909091,0.9234042553191489
5,H2C_train_rule_top37,LogisticRegression,37,0.7303398058252426,0.9537037037037037,0.911504424778761
5,H2C_train_rule_top37,RandomForest,37,0.9888349514563106,0.9785202863961814,0.9601769911504425
5,TDA_top200_train,LogisticRegression,200,0.9803398058252426,0.9853658536585366,0.9734513274336283
5,TDA_top200_train,RandomForest,200,0.9973300970873786,0.9927710843373494,0.9867256637168141
5,Euclidean_top200_train,LogisticRegression,200,0.9995145631067961,0.9951219512195122,0.9911504424778761
5,Euclidean_top200_train,RandomForest,200,0.999757281553398,0.9951690821256038,0.9911504424778761
5,Latent_32d_fold_combat,LogisticRegression,32,0.9174757281553398,0.951276102088167,0.9070796460176991
5,Latent_32d_fold_combat,RandomForest,32,0.9097087378640777,0.9552941176470588,0.915929203539823
