gene,tda_importance,tda_rank,euclidean_t,euclidean_p,euclidean_rank
LOC641367,1.0936549,1,-0.006171894,0.99508715,20840
TSC22D4,0.9212082,2,-0.75943834,0.44930112,18393
XPNPEP2,0.9182737,3,-11.437091,1.02437575e-19,3323
RGS7,0.88903797,4,5.775815,2.7037629e-08,7974
LOC388942,0.87479424,5,2.7685144,0.005783184,13416
SLC1A1,0.86462474,6,5.4419937,1.0544056e-07,8401
CLEC5A,0.858042,7,22.434326,0.0,167
ATP12A,0.8319233,8,-0.35609075,0.7222581,19712
CXCR4,0.8274405,9,5.7551355,8.2127784e-08,8320
CG030,0.8224243,10,-7.6191,1.0820244e-11,6079
ZNF853,0.8130372,11,-6.2281866,7.1871114e-09,7600
MAEA,0.8082006,12,2.0255613,0.044801243,15100
SPAG8,0.80720806,13,-5.335622,3.1517467e-07,8758
CLP1,0.8029109,14,0.021276228,0.9830556,20793
MIR892A,0.78555965,15,-0.31699848,0.7518828,19851
FCGR2A,0.7825563,16,3.1883793,0.001871405,12672
LIPH,0.77444935,17,1.8830172,0.06250555,15423
ZFP1,0.7704034,18,-4.4686217,1.8348443e-05,10279
MIR1207,0.7696569,19,2.3234527,0.021849442,14397
PFKL,0.76957965,20,6.4721045,1.7958133e-09,7225
LOC100505679,0.7556807,21,-6.92815,4.2653286e-10,6877
SOST,0.7538605,22,0.7912477,0.43065444,18303
AMPD1,0.75006,23,-9.798045,2.8153483e-16,4293
CCDC144C,0.7490879,24,-2.999738,0.0033530036,13046
DHRS2,0.7483027,25,2.551595,0.012014488,13933
SNORD110,0.74304205,26,0.3485387,0.7281044,19740
LOC100506668,0.74263275,27,10.652084,9.297878e-21,3082
KIR2DS4,0.7424388,28,-2.0768774,0.040383097,15004
SZT2,0.73139864,29,-9.28497,8.885122e-16,4466
DTX1,0.7306899,30,-14.215761,2.4267187e-26,1980
SNORA26,0.7303158,31,3.995639,0.0001166747,11098
ADRA1D,0.72537255,32,-2.1245246,0.035240207,14856
LOC100506071,0.72485435,33,1.9083064,0.058452822,15353
ADARB2,0.7222795,34,-3.275306,0.0013425004,12458
PROKR2,0.72040117,35,1.8834667,0.060758557,15394
FAM160B1,0.7162994,36,-6.1671996,1.3982035e-08,7787
MIR15A,0.70472133,37,6.563114,2.9882344e-10,6797
GZF1,0.7026102,38,4.031013,8.49772e-05,10933
DSCR6,0.70186675,39,20.276932,0.0,333
NSUN7,0.6918824,40,-2.0838487,0.039639723,14973
MIR132,0.6879319,41,0.19287758,0.84742457,20251
LOC100129518,0.68773514,42,-6.898222,3.00283e-10,6799
CDK16,0.6868198,43,13.682294,1.7559632e-30,1457
SLC2A4,0.6804429,44,-15.214921,1.2343098e-27,1806
SLC7A4,0.6794884,45,-4.969817,1.5914887e-06,9328
MIR4281,0.6782227,46,0.42879823,0.668932,19471
LOC100506585,0.67779857,47,0.9564983,0.34100425,17787
LOC283663,0.6768323,48,-1.4872468,0.13970885,16399
C10orf107,0.6761083,49,-2.7321422,0.0071074525,13575
SLC30A4,0.6750798,50,-5.0621376,1.6794736e-06,9345
LOC284688,0.6729991,51,-4.2670984,4.484439e-05,10648
SEMA4G,0.6670851,52,0.59223974,0.5548357,18956
JMJD6,0.6665975,53,-0.3909506,0.6964973,19605
GPR82,0.6665236,54,1.3131613,0.19190837,16859
LOC90246,0.6659725,55,0.4448746,0.65686524,19430
C1orf151-NBL1,0.6652702,56,3.1521237,0.002064505,12731
MIR1203,0.6651592,57,1.851348,0.06661236,15489
AQP2,0.664288,58,-2.4969742,0.013931223,14053
CCDC109B,0.6639384,59,8.279861,7.807518e-14,5133
PROP1,0.66354656,60,1.110521,0.26929283,17365
PMPCA,0.66311705,61,7.649519,1.6066132e-12,5688
EPHA7,0.657283,62,-7.469896,2.2314489e-11,6227
MIA2,0.6567691,63,-3.0009692,0.00345239,13069
FFAR2,0.6556792,64,3.2936814,0.001297934,12435
C10orf113,0.6544027,65,-0.29480758,0.76876706,19920
ZC3H6,0.6513133,66,-9.363168,7.8522066e-16,4442
CGN,0.65110916,67,4.6616125,1.0002397e-05,10031
STX12,0.6497942,68,-11.476647,4.9580466e-20,3244
MAG,0.6480058,69,3.4654,0.00073106086,12102
SERPINB3,0.64776254,70,2.8338645,0.0050041415,13323
CLCA3P,0.6469918,71,-3.2348378,0.0015472582,12545
FBLN1,0.6466605,72,-7.909357,1.9647038e-12,5722
AZGP1P1,0.6453642,73,3.9673903,0.00012720944,11148
C22orf24,0.644529,74,-0.7356118,0.46357578,18469
GPR98,0.64415133,75,-1.7090652,0.090135485,15896
MIR4271,0.64373225,76,-4.7992983,5.6998006e-06,9828
C14orf182,0.63928765,77,7.9828672,2.0484351e-13,5296
VTRNA2-1,0.63696873,78,-3.208539,0.0018383334,12655
SPCS3,0.6368862,79,-1.4947065,0.1376214,16384
CPNE3,0.63686323,80,2.8698895,0.004763323,13292
NRADDP,0.6365365,81,-2.3820198,0.018964369,14292
C5orf28,0.6359412,82,1.4431599,0.15199347,16502
SCOC,0.6352087,83,1.7506567,0.08237469,15784
P2RY14,0.6330623,84,-9.532647,9.709158e-16,4482
LACE1,0.63170075,85,-3.4679394,0.0007064962,12079
ZNF653,0.62949395,86,4.0732985,8.963727e-05,10953
NUBP1,0.62348306,87,10.470701,5.4879734e-21,3025
ADAMTS19,0.61971796,88,8.863225,7.64929e-17,4107
ADRA1A,0.61876833,89,-10.95044,2.3741053e-18,3691
AOC4,0.6182283,90,-10.289891,5.7604805e-17,4071
DNTT,0.61783165,91,0.1465375,0.88380706,20387
LOC100132352,0.6153694,92,-13.377708,2.891118e-26,1994
RFX6,0.6152098,93,-5.861132,6.072836e-08,8211
HHEX,0.614938,94,-3.1430318,0.00213797,12747
SCFD2,0.61455595,95,-2.5405014,0.012190144,13942
SPDYE6,0.6144947,96,1.7399902,0.0845696,15816
TXNDC15,0.6139356,97,-4.115806,6.501146e-05,10805
UROS,0.613335,98,9.309395,5.0596607e-17,4050
CNIH,0.6119176,99,3.367072,0.0010124204,12293
LOC81691,0.61180204,100,6.4966874,7.326413e-10,7007
SPG21,0.61037636,101,5.9928265,1.7615971e-08,7856
ARL13A,0.60995674,102,-5.7840247,7.1490426e-08,8262
DEFB115,0.606496,103,3.4277058,0.0006422768,12024
F2RL2,0.6062191,104,11.248997,2.302842e-23,2533
LOC100506930,0.6053455,105,7.8208795,3.1808798e-12,5810
PRAMEF11,0.6051499,106,-1.158075,0.249773,17233
NR2E1,0.6049248,107,0.31050482,0.7565256,19874
CIITA,0.6047536,108,-1.5078224,0.13398594,16349
PSMA8,0.6046653,109,-3.3842034,0.0009587706,12265
RAP1GAP,0.60361475,110,4.085242,8.841495e-05,10945
AGPAT4-IT1,0.6026628,111,-8.036719,1.5738985e-12,5684
LOC399708,0.6025152,112,4.5416985,6.718068e-06,9894
LEPROT,0.6023222,113,-13.160714,4.0726124e-24,2384
DNMBP,0.60112333,114,-9.406253,1.855379e-17,3923
LETMD1,0.59913254,115,-14.210511,2.6714294e-26,1986
PARD3B,0.59794414,116,-9.811722,2.8175344e-16,4294
LARP4B,0.59681237,117,6.514242,1.4108688e-09,7169
MKL1,0.5955585,118,-4.65963,9.408228e-06,10008
HTR5A,0.5951247,119,-1.5789919,0.11746742,16185
GLRX3,0.5934396,120,6.5680733,5.0958743e-10,6919
MYO10,0.59313136,121,1.664043,0.097843416,15982
SLC25A20,0.5923092,122,-9.176517,4.867951e-15,4710
CYP4F2,0.592212,123,4.453391,1.42096405e-05,10180
BCRP3,0.5920156,124,0.8883462,0.37590745,17979
MSL3,0.5919208,125,-1.3651011,0.17454064,16694
OR2D3,0.5917902,126,0.29126713,0.7713933,19931
LOC100506274,0.5909103,127,-2.7332277,0.0073503074,13606
SLC29A1,0.5900402,128,-10.504403,6.125763e-20,3265
LOC100506660,0.58909637,129,11.084401,1.2226421e-21,2897
SNRPA,0.58843696,130,3.8106,0.00020852231,11410
TRPM8,0.5877087,131,2.182508,0.030100659,14689
ACCN1,0.58699965,132,3.0816646,0.0023385035,12800
LOC100507362,0.58677983,133,0.9367961,0.350859,17842
LOC100132354,0.5866852,134,11.900405,1.7927643e-30,1458
WASF2,0.58645874,135,-16.911173,1.3001405e-34,1081
GDF11,0.5861463,136,4.4147286,1.9877536e-05,10308
LOC100128496,0.58514637,137,2.4790244,0.014412817,14080
MARCO,0.58325154,138,-8.38204,1.9629906e-13,5288
ARHGEF33,0.5829989,139,-7.280388,4.3006803e-11,6359
FAM183B,0.5817299,140,6.2230196,3.3245284e-09,7396
DGKK,0.58156943,141,0.62016356,0.5362708,18855
MIR548T,0.58135355,142,-0.033416912,0.97341126,20761
ITGB2,0.5813022,143,3.5982754,0.00047671248,11864
LOC284080,0.5802163,144,-4.900344,3.2103449e-06,9602
APCS,0.57831067,145,4.1426086,3.746552e-05,10571
MSTO1,0.5774237,146,1.9744012,0.050787956,15233
DRG2,0.57739764,147,-5.9329543,2.0846768e-08,7892
C22orf32,0.57502663,148,-5.0939193,1.39528e-06,9281
MAGEA3,0.57368517,149,8.888325,3.2153158e-18,3732
KCTD12,0.5730282,150,-17.021765,1.0385843e-34,1075
LOC100507489,0.57162917,151,-3.9614885,0.00012534916,11142
LOC283089,0.57120335,152,-3.0871956,0.002382875,12811
LOC283710,0.571041,153,0.739511,0.4609439,18451
IFT140,0.5698569,154,4.958746,2.2585546e-06,9464
C9orf5,0.5666654,155,-11.393975,5.881549e-20,3263
FLJ31485,0.5658554,156,-13.801137,4.8865037e-27,1885
LINC00273,0.565265,157,3.6019685,0.00045321803,11833
AXDND1,0.5630522,158,7.533264,7.3363863e-13,5543
KLHL7-AS1,0.56206405,159,-3.5090039,0.00065486203,12033
RAD54B,0.5619525,160,17.653433,0.0,577
LOC100507577,0.56157565,161,-7.700628,3.882591e-12,5845
MIR3192,0.56123555,162,-4.0737724,9.17482e-05,10964
MBD3L3,0.56106997,163,-0.49509612,0.6216916,19268
ODZ2,0.5607064,164,-9.893146,1.2021494e-16,4176
ETF1,0.56060064,165,-5.310396,5.372947e-07,8947
PLSCR4,0.55912304,166,-20.099937,0.0,356
CHRNA1,0.5580683,167,6.9442844,2.796096e-10,6777
DUSP21,0.5579017,168,-1.2141889,0.22765678,17094
RTKN2,0.5560468,169,14.504287,4.686971e-29,1625
PLAC1L,0.5559228,170,0.78768307,0.43259797,18313
C9orf139,0.5556655,171,3.6867533,0.00035322108,11706
DEFB131,0.55559385,172,-1.5490932,0.12465033,16251
FRY,0.55541825,173,-12.629661,1.9941166e-26,1969
CCDC61,0.5541694,174,1.543183,0.124958836,16254
CDH9,0.55332154,175,-1.3791778,0.17076689,16662
LOC339975,0.552075,176,-2.1244762,0.03584831,14866
CCDC37,0.55204225,177,-1.2210987,0.22479384,17076
MIR1468,0.55126786,178,-0.38286644,0.7027291,19631
MADCAM1,0.55034614,179,3.504151,0.0005397804,11925
MNX1,0.5484301,180,12.916787,3.5130434e-31,1386
C8orf37,0.54773885,181,2.9963138,0.0032079068,13015
PCDP1,0.5475032,182,7.0906987,1.7651283e-11,6181
SNORA49,0.54748076,183,-0.19190232,0.84819186,20255
LOC219347,0.5455198,184,-1.0179855,0.3106154,17613
LOC100128946,0.54518545,185,-3.4959013,0.00069390767,12068
CYP26A1,0.54493165,186,-1.8688246,0.06459747,15460
LOC100233209,0.5440165,187,1.1304697,0.26021123,17307
LINC00548,0.54366374,188,-6.0605836,3.047546e-08,8010
ABCG4,0.54324085,189,-0.7234596,0.470453,18512
LOC221122,0.54266477,190,13.315438,1.8587117e-33,1179
CYP4Z2P,0.5425687,191,2.0438006,0.043113668,15067
MPZ,0.54189306,192,-11.060475,1.8931968e-19,3400
PTCD2,0.54186416,193,-3.38864,0.00092789327,12238
KHSRP,0.5408679,194,4.7173166,6.3639036e-06,9876
LOC550112,0.54065156,195,-0.3161696,0.7524442,19854
LOC100506046,0.5404992,196,-3.612479,0.00043200166,11802
ANP32A-IT1,0.54017615,197,-5.1156907,1.5227334e-06,9312
GOLGA8IP,0.5397371,198,-10.055235,8.896373e-17,4136
