gene_set,gene
H2C_37,EFCAB3
H2C_37,PGC
H2C_37,RPRM
H2C_37,RPRML
H2C_37,HSPB9
H2C_37,OTOP1
H2C_37,TPRG1
H2C_37,NCR2
H2C_37,AES
H2C_37,SERPINA10
H2C_37,SNW1
H2C_37,TMCC1
H2C_37,CCT4
H2C_37,PDLIM7
H2C_37,VPS8
H2C_37,PRG3
H2C_37,NDUFV1
H2C_37,TWSG1
H2C_37,COQ10B
H2C_37,PTDSS2
H2C_37,SFTPC
H2C_37,RAC1
H2C_37,CCT8L2
H2C_37,EIF1AY
H2C_37,DDX46
H2C_37,C19orf66
H2C_37,BANF2
H2C_37,KRT12
H2C_37,TGFBI
H2C_37,PSD3
H2C_37,TMOD3
H2C_37,ST6GALNAC2
Euclidean_top37,FIGF
Euclidean_top37,CA4
Euclidean_top37,TSLP
Euclidean_top37,CPA1
Euclidean_top37,C1QTNF9
Euclidean_top37,HSD17B13
Euclidean_top37,GLYAT
Euclidean_top37,CD300LG
Euclidean_top37,SCARA5
Euclidean_top37,LRRC3B
Euclidean_top37,LYVE1
Euclidean_top37,MYOM1
Euclidean_top37,HIF3A
Euclidean_top37,MYOC
Euclidean_top37,ARHGAP20
Euclidean_top37,SLC2A4
Euclidean_top37,ABCA10
Euclidean_top37,TMEM132C
Euclidean_top37,SLC17A7
Euclidean_top37,ADRA1A
Euclidean_top37,LRRC2
Euclidean_top37,KLB
Euclidean_top37,ATOH8
Euclidean_top37,ACVR1C
Euclidean_top37,PAMR1
Euclidean_top37,GPAM
Random_37,SASH3
Random_37,ALOX12B
Random_37,CCDC90B
Random_37,CLIC2
Random_37,NAF1
Random_37,DNAJC16
Random_37,GLOD4
Random_37,EI24
Random_37,PLEKHA4
Random_37,GTF2B
Random_37,DECR2
Random_37,HRASLS5
Random_37,STRADB
Random_37,CD248
Random_37,SEC62
Random_37,TM9SF4
Random_37,RNF151
Random_37,RNF20
Random_37,PWP1
Random_37,SNAP47
Random_37,FBXO38
Random_37,MSH6
Random_37,ZNF257
Random_37,GSX2
Random_37,SEMA6B
Random_37,OR9G4
Random_37,LRRC23
Random_37,CACNG3
Random_37,RWDD2A
Random_37,IFNA8
Random_37,MSRA
Random_37,AMTN
Random_37,CCDC102A
Random_37,TRAPPC6A
Random_37,BMS1P4
