endpoint,model,gene_set,score_method,score_fit_scope,logrank_p,n,events,hr_per_sd,ci_lower,ci_upper,cox_p,c_index,covariates
OS,univariate,H2C_37,pca,in_sample,0.9348664509822858,866,132,0.8808228196437462,0.7732013858843066,1.0034240157469776,0.05631954375925799,0.5210404241219351,
OS,multivariate,H2C_37,pca,in_sample,0.9348664509822858,866,132,0.95702453919896,0.8387035206878566,1.092037825092014,0.5141652374433345,0.7293903247183565,"[""age_years"", ""stage_missing"", ""stage_numeric"", ""treatment_unknown"", ""treatment_yes""]"
OS,univariate,H2C_37,pca,out_of_sample,0.9211365896090193,866,132,0.9172799065359518,0.8058370643706834,1.0441346819802784,0.19139299782254063,0.47362491716368454,
OS,multivariate,H2C_37,pca,out_of_sample,0.9211365896090193,866,132,0.9731213633361634,0.8534514265096578,1.1095712753730074,0.6840332024944361,0.7270709078860172,"[""age_years"", ""stage_missing"", ""stage_numeric"", ""treatment_unknown"", ""treatment_yes""]"
OS,univariate,H2C_37,cox_beta,in_sample,9.882705657870287e-13,866,132,1.6277582713741086,1.4215700922332237,1.8638525138527824,1.7856634708152459e-12,0.7386017229953612,
OS,multivariate,H2C_37,cox_beta,in_sample,9.882705657870287e-13,866,132,1.4725931314848804,1.2781729785006586,1.6965861173502574,8.448250267051602e-08,0.8023856858846918,"[""age_years"", ""stage_missing"", ""stage_numeric"", ""treatment_unknown"", ""treatment_yes""]"
OS,univariate,H2C_37,cox_beta,out_of_sample,4.560664580873735e-07,866,132,1.270716957532493,1.1222461780023985,1.4388301050263719,0.00015728960003779646,0.6522531477799868,
OS,multivariate,H2C_37,cox_beta,out_of_sample,4.560664580873735e-07,866,132,1.226482935459506,1.073566265402737,1.401180755627655,0.0026578864665650326,0.7667992047713718,"[""age_years"", ""stage_missing"", ""stage_numeric"", ""treatment_unknown"", ""treatment_yes""]"
OS,univariate,Euclidean_top37,pca,in_sample,0.008403949115632756,866,132,1.23953021271998,1.098043823137433,1.3992475672378846,0.0005157420485503624,0.5035453943008615,
OS,multivariate,Euclidean_top37,pca,in_sample,0.008403949115632756,866,132,1.0599087956055677,0.9223698828251763,1.217956782761708,0.4119576820515275,0.7258117958913187,"[""age_years"", ""stage_missing"", ""stage_numeric"", ""treatment_unknown"", ""treatment_yes""]"
OS,univariate,Euclidean_top37,pca,out_of_sample,0.012743177035707895,866,132,1.2405416394104793,1.0986153324567687,1.4008029140370641,0.0005067510450822167,0.5030483764082173,
OS,multivariate,Euclidean_top37,pca,out_of_sample,0.012743177035707895,866,132,1.062422765850541,0.9241526447693529,1.2213806234133773,0.39467090737000743,0.7257786613651425,"[""age_years"", ""stage_missing"", ""stage_numeric"", ""treatment_unknown"", ""treatment_yes""]"
OS,univariate,Euclidean_top37,cox_beta,in_sample,2.614099929566198e-08,866,132,1.3809993228966493,1.2277027868768708,1.5534371594061365,7.566940446372788e-08,0.62259774685222,
OS,multivariate,Euclidean_top37,cox_beta,in_sample,2.614099929566198e-08,866,132,1.2297611815407423,1.070898675013679,1.4121901529154146,0.003383566337870315,0.7370775347912525,"[""age_years"", ""stage_missing"", ""stage_numeric"", ""treatment_unknown"", ""treatment_yes""]"
OS,univariate,Euclidean_top37,cox_beta,out_of_sample,0.0012277748760831785,866,132,1.2812750386227634,1.1338189843363458,1.447908129319844,7.089304848255995e-05,0.5705102717031146,
OS,multivariate,Euclidean_top37,cox_beta,out_of_sample,0.0012277748760831785,866,132,1.1271453562499545,0.9815654664225186,1.2943167802614644,0.08983572063146728,0.7276010603048376,"[""age_years"", ""stage_missing"", ""stage_numeric"", ""treatment_unknown"", ""treatment_yes""]"
OS,univariate,Random_37,pca,in_sample,0.21296818158115774,866,132,1.0467363716960443,0.9162368157794041,1.1958229717055955,0.5013751327927622,0.501325381047051,
OS,multivariate,Random_37,pca,in_sample,0.21296818158115774,866,132,0.9629079227452706,0.8396384303514399,1.1042749285517168,0.5886482118178993,0.7351888667992048,"[""age_years"", ""stage_missing"", ""stage_numeric"", ""treatment_unknown"", ""treatment_yes""]"
OS,univariate,Random_37,pca,out_of_sample,0.22235321376183723,866,132,1.0441725708910146,0.9141312669308478,1.192713122549422,0.5241529635840834,0.5007620941020543,
OS,multivariate,Random_37,pca,out_of_sample,0.22235321376183723,866,132,0.9644459479393859,0.8413656126651379,1.1055312607206602,0.6032712546501668,0.7351557322730286,"[""age_years"", ""stage_missing"", ""stage_numeric"", ""treatment_unknown"", ""treatment_yes""]"
OS,univariate,Random_37,cox_beta,in_sample,4.854071026330272e-10,866,132,1.5019559548111432,1.313777556176785,1.7170880105133242,2.5882515066512415e-09,0.6508946322067595,
OS,multivariate,Random_37,cox_beta,in_sample,4.854071026330272e-10,866,132,1.303231823488748,1.129013142891552,1.5043342909223776,0.00029771955295230076,0.7566269052352551,"[""age_years"", ""stage_missing"", ""stage_numeric"", ""treatment_unknown"", ""treatment_yes""]"
OS,univariate,Random_37,cox_beta,out_of_sample,0.0011767779773526861,866,132,1.1930752798027477,1.0473182859849135,1.3591175121494143,0.007921706664679125,0.5447978793903248,
OS,multivariate,Random_37,cox_beta,out_of_sample,0.0011767779773526861,866,132,1.048945925687649,0.8972454571048084,1.2262949300039674,0.5487987218046964,0.7331345261762757,"[""age_years"", ""stage_missing"", ""stage_numeric"", ""treatment_unknown"", ""treatment_yes""]"
